TEM_CODE,TEM_DATE_TIME,TEM_ACS_TRX_ID,TEM_DS_TRX_ID,TEM_ERRR_CMPN,TEM_ERRR_CODE,TEM_ERRR_DSCR,TEM_ERRR_DTLS,TEM_ERRR_MSSG_TYPE,TEM_MSSG_VRSN_NMBR,TEM_SDK_TRX_ID,TEM_TDS_SRVR_TRX_ID,TEM_3ST_CODE,TEM_CRT_CODE,ROWID
"2,434",2020-06-07 21:18:42.785,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,09369bcd-a8fc-11ea-9f83-33a2945b0a61,,,AAAW1bAAFAABco3AAM
"2,439",2020-06-07 21:18:43.196,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0804d286-a8fc-11ea-9f83-65ebf0eb2d86,,,AAAW1bAAFAABco3AAN
"2,438",2020-06-07 21:18:43.091,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0804d287-a8fc-11ea-9f83-c73e21c62cc5,,,AAAW1bAAFAABco3AAO
"2,441",2020-06-07 21:18:43.509,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06e35ce4-a8fc-11ea-9f83-ef9c9d0e4422,,,AAAW1bAAFAABco3AAP
"2,443",2020-06-07 21:18:43.434,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06ec84ab-a8fc-11ea-9f83-076b480d3b5e,,,AAAW1bAAFAABco3AAQ
"2,445",2020-06-07 21:18:43.505,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,089dde3b-a8fc-11ea-9f83-9b8627224a64,,,AAAW1bAAFAABco3AAR
"2,446",2020-06-07 21:18:43.51,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06f5d384-a8fc-11ea-9f83-bb49fadbbea9,,,AAAW1bAAFAABco3AAS
"2,449",2020-06-07 21:18:46.072,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,13d67ce7-a8fc-11ea-9f83-876d4a6c5e91,,,AAAW1bAAFAABco3AAT
"2,450",2020-06-07 21:18:45.472,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,13a3ad14-a8fc-11ea-9f83-ab35735a4314,,,AAAW1bAAFAABco3AAU
"2,451",2020-06-07 21:18:45.552,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06f49b03-a8fc-11ea-9f83-a775003ad039,,,AAAW1bAAFAABco3AAV
"2,452",2020-06-07 21:18:46.067,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,13afbb06-a8fc-11ea-9f83-0fbe85c2b35c,,,AAAW1bAAFAABco3AAW
"2,453",2020-06-07 21:18:46.073,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,13f3a1d8-a8fc-11ea-9f83-d3e088c272c0,,,AAAW1bAAFAABco3AAX
"2,454",2020-06-07 21:18:46.556,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,1441259a-a8fc-11ea-9f83-592cb82c95c7,,,AAAW1bAAFAABco3AAY
"2,455",2020-06-07 21:18:46.748,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,076cff55-a8fc-11ea-9f83-0bf7fb45c288,,,AAAW1bAAFAABco3AAZ
"2,456",2020-06-07 21:18:46.951,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,148a63a0-a8fc-11ea-9f83-1d69188fbdb4,,,AAAW1bAAFAABco3AAa
"2,459",2020-06-07 21:18:47.096,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06ef43cf-a8fc-11ea-9f83-17d13b0d66df,,,AAAW1bAAFAABco3AAb
